backend,batch,rate_hz,count,p50_ns,p99_ns,p999_ns,max_ns,iqr_ns,mean_ns,p9999_ns
cuda-graphs,8,1000,20000,169100,1.7799e+06,3.8413e+06,4.17544e+07,102700,272643,1.99522e+07
cpu,8,10000,20000,7300,26600,149100,2.12369e+07,700,9672.54,1.51165e+07
cuda-naive,8,10000,20000,81600,185900,985600,6.0959e+06,14300,89266.6,2.985e+06
cuda-graphs,8,10000,20000,158700,320100,480100,1.288e+06,83600,160943,1.239e+06
cpu,8,50000,20000,5200,13500,73500,304900,800,5813.56,271600
cuda-naive,8,50000,20000,88000,190700,358400,615400,32200,99228.8,531200
cuda-graphs,8,50000,20000,167500,345000,516600,2.3528e+06,84200,159574,1.8801e+06
cpu,8,100000,20000,4700,8800,80700,427500,1400,4699.52,356000
cuda-naive,8,100000,20000,90200,201700,361400,853100,41700,103843,609600
cuda-graphs,8,100000,20000,177500,355900,481500,926100,73000,167826,897300
cpu,8,250000,20000,2400,5800,9600,74700,700,2830.27,59600
cuda-naive,8,250000,20000,88500,191300,361000,894600,40200,102938,547400
cuda-graphs,8,250000,20000,134000,312900,471300,1.2565e+06,65700,145203,996300
cpu,16,0,20000,4600,10600,18900,65600,600,5228.4,47300
cuda-naive,16,0,20000,108300,176500,329900,1.1922e+06,29200,105445,1.1216e+06
cuda-graphs,16,0,20000,174100,336900,468800,1.2246e+06,82700,159984,1.0863e+06
persistent,16,0,18750,90900,113500,260100,3.266e+06,1700,93416.2,1.6353e+06
cpu,16,1000,20000,15200,99600,456100,2.7116e+06,2100,20783.8,2.1643e+06
cuda-naive,16,1000,20000,127800,1.5066e+06,4.1404e+06,5.42419e+07,111100,237082,1.90016e+07
cuda-graphs,16,1000,20000,200700,1.3844e+06,4.2715e+06,1.74145e+07,55200,267922,1.66181e+07
cpu,16,10000,20000,14500,39800,169300,1.3831e+06,900,15330.1,748500
cuda-naive,16,10000,20000,81700,177600,978300,8.8967e+06,11900,87884.2,5.1817e+06
cuda-graphs,16,10000,20000,140900,255100,399300,3.2567e+06,64800,138644,1.0335e+06
cpu,16,50000,20000,8600,15500,79900,512800,3800,8271.58,314400
cuda-naive,16,50000,20000,78900,162100,286500,1.7096e+06,10700,82836.9,736100
cuda-graphs,16,50000,20000,108100,241700,397600,1.7008e+06,56500,128290,1.0625e+06
cpu,16,100000,20000,4800,15200,52100,692600,1800,6011.16,257600
cuda-naive,16,100000,20000,74400,129400,282600,693800,11500,74111.1,686400
cuda-graphs,16,100000,20000,103800,173100,314900,2.2597e+06,10200,107614,1.4456e+06
cpu,16,250000,20000,4500,6800,13300,108100,400,4584.97,90800
cuda-naive,16,250000,20000,74600,133200,264100,2.7644e+06,11900,75679,1.3552e+06
cuda-graphs,16,250000,20000,103400,175100,300300,2.0708e+06,10300,103921,962800
cpu,32,0,20000,9100,19900,47700,131600,600,9384.58,108300
cuda-naive,32,0,20000,84900,155700,301800,804900,31500,94791.6,521500
cuda-graphs,32,0,20000,107600,180000,317700,2.4589e+06,10100,109115,858100
persistent,32,0,9375,181500,227600,492200,4.9719e+06,3300,188028,4.9719e+06
cpu,32,1000,20000,29700,136000,538200,4.2106e+07,6000,42386.2,1.35618e+07
cuda-naive,32,1000,20000,146400,1.5465e+06,3.5335e+06,4.34149e+07,68800,243491,1.11003e+07
cuda-graphs,32,1000,20000,173800,1.719e+06,3.8425e+06,1.47192e+07,107400,272910,1.33584e+07
cpu,32,10000,20000,20200,48600,246900,9.9512e+06,4100,22592.3,1.0804e+06
cuda-naive,32,10000,20000,82900,185500,1.0029e+06,1.87319e+07,11100,89057.3,2.6594e+06
cuda-graphs,32,10000,20000,144600,249500,395200,4.9757e+06,50300,138941,1.6491e+06
cpu,32,50000,20000,9600,24200,55100,210300,4300,11730.3,207600
cuda-naive,32,50000,20000,97200,178600,362900,1.1765e+06,12300,103460,1.0278e+06
cuda-graphs,32,50000,20000,156300,252000,481900,7.2089e+06,16300,150042,6.0928e+06
cpu,32,100000,20000,8900,22200,78900,3.2277e+06,600,9881.68,526600
cuda-naive,32,100000,20000,96300,167800,302400,1.5489e+06,31700,100155,844300
cuda-graphs,32,100000,20000,159800,263200,392200,802900,58500,150361,695500
cpu,32,250000,20000,9000,20800,51600,302600,700,10129.3,283700
cuda-naive,32,250000,20000,88000,174800,329400,981400,32100,96423.9,842700
cuda-graphs,32,250000,20000,141900,246800,391600,894100,48200,132344,706800
cpu,64,0,20000,17900,40600,191900,316600,800,19390.1,315700
cuda-naive,64,0,20000,99000,199200,353300,1.1762e+06,29000,109265,943200
cuda-graphs,64,0,20000,145800,254600,444900,9.1207e+06,49200,141741,1.0434e+06
persistent,64,0,4687,363500,466600,538200,4.507e+06,6800,377383,4.507e+06
cpu,64,1000,20000,58600,222200,650600,3.4493e+06,17100,70876.9,3.1272e+06
cuda-naive,64,1000,20000,135500,1.4502e+06,2.9691e+06,7.6647e+06,70200,218746,4.5034e+06
cuda-graphs,64,1000,20000,217100,1.7203e+06,3.4746e+06,9.0114e+06,36100,303315,4.4997e+06
cpu,64,10000,20000,38500,77000,174300,611200,2500,39584,435700
cuda-naive,64,10000,20000,86400,200200,919000,3.5267e+06,24400,97437.1,2.426e+06
cuda-graphs,64,10000,20000,109200,192600,329500,3.4515e+06,10900,113953,1.0607e+06
cpu,64,50000,20000,17700,43400,78000,386100,700,18906.5,313300
cuda-naive,64,50000,20000,81900,142300,262100,3.5773e+06,8600,83329.8,1.0915e+06
cuda-graphs,64,50000,20000,107300,174800,321600,5.6891e+06,10300,108202,953400
cpu,64,100000,20000,17900,41100,67700,1.0407e+06,800,19285.5,472500
cuda-naive,64,100000,20000,82800,137400,249000,1.1499e+06,8300,84579.4,432500
cuda-graphs,64,100000,20000,107100,194900,329200,926900,10800,110878,747500
cpu,64,250000,20000,17800,39500,72600,284500,800,19227.7,216400
cuda-naive,64,250000,20000,82600,140800,251100,1.23e+06,7900,84213.1,952200
cuda-graphs,64,250000,20000,107200,184300,324600,939800,11200,111931,930300
cpu,128,0,20000,35900,84500,217300,690100,2300,40123.8,508900
cuda-naive,128,0,20000,82500,149100,369700,718700,9800,87345.7,688400
cuda-graphs,128,0,20000,112500,191100,340400,1.1037e+06,30100,120652,981300
persistent,128,0,2343,730600,910300,2.389e+06,5.7972e+06,23000,759537,5.7972e+06
cpu,128,1000,20000,116100,316700,1.4013e+06,1.87501e+07,6100,133692,9.7081e+06
cuda-naive,128,1000,20000,151000,1.6308e+06,4.4867e+06,7.01125e+07,122000,270045,3.27082e+07
cuda-graphs,128,1000,20000,195200,1.7384e+06,3.7608e+06,5.54595e+07,101400,287605,3.814e+07
cpu,128,10000,20000,52800,121100,279700,2.42258e+07,37900,59213.2,4.8603e+06
cuda-naive,128,10000,20000,119600,198700,461800,2.6717e+06,40900,116758,1.6423e+06
cuda-graphs,128,10000,20000,178800,360800,526400,3.4581e+06,65900,172470,1.2764e+06
cpu,128,50000,20000,35600,79800,159100,841000,1700,40076.3,286200
cuda-naive,128,50000,20000,91000,212700,901800,1.7321e+06,34800,103087,1.2479e+06
cuda-graphs,128,50000,20000,140800,359700,486500,1.4073e+06,85200,161425,706800
cpu,128,100000,20000,35500,83100,156300,510100,1500,38965.5,503400
cuda-naive,128,100000,20000,92400,264300,758600,4.0107e+06,33700,106557,946200
cuda-graphs,128,100000,20000,145300,357600,495100,1.2345e+06,79400,160061,1.0151e+06
cpu,128,250000,20000,35600,88300,180700,599900,1600,40550.1,478500
cuda-naive,128,250000,20000,98800,279900,675000,1.0956e+06,41100,108675,1.0113e+06
cuda-graphs,128,250000,20000,180900,364900,607500,2.6743e+06,76800,172320,2.5523e+06
cpu,256,0,20000,70700,180100,319100,7.2755e+06,3300,82304.7,709700
cuda-naive,256,0,20000,120100,239800,422000,1.38531e+07,40200,126070,876000
cuda-graphs,256,0,20000,147100,338500,527400,792400,78900,157812,772000
persistent,256,0,1171,1.4558e+06,1.7966e+06,2.1308e+06,6.8155e+06,30000,1.49583e+06,6.8155e+06
cpu,256,1000,20000,232100,594400,1.6675e+06,3.30196e+07,89300,283845,3.09328e+07
cuda-naive,256,1000,20000,151400,1.571e+06,3.948e+06,2.71798e+07,108700,261651,2.71689e+07
cuda-graphs,256,1000,20000,219900,1.4194e+06,3.5609e+06,2.25237e+07,77100,287844,1.92216e+07
cpu,256,10000,20000,71300,202100,416100,3.8308e+06,22700,90033.3,2.7194e+06
cuda-naive,256,10000,20000,94400,180000,369100,1.5503e+07,27500,103407,3.0627e+06
cuda-graphs,256,10000,20000,112400,229600,453700,2.46268e+07,43500,127890,2.6978e+06
cpu,256,50000,20000,71400,180000,344900,7.2179e+06,4600,85304.4,5.4328e+06
cuda-naive,256,50000,20000,96900,190900,477000,2.39646e+07,29400,108316,4.2702e+06
cuda-graphs,256,50000,20000,165900,267800,430900,1.177e+06,64300,151929,880900
cpu,256,100000,20000,71200,185600,348300,1.48295e+07,3300,82076.5,1.8765e+06
cuda-naive,256,100000,20000,94700,190400,534100,2.30787e+07,17800,103583,8.0628e+06
cuda-graphs,256,100000,20000,113800,219100,360700,645800,45700,128590,623100
cpu,256,250000,20000,71000,182800,328300,893400,2400,79726.2,684500
cuda-naive,256,250000,20000,114400,220000,504400,8.7632e+06,31900,117618,7.6167e+06
cuda-graphs,256,250000,20000,117900,242500,415400,4.10525e+07,49100,137432,911300
