backend,batch,rate_hz,count,p50_ns,p99_ns,p999_ns,max_ns,iqr_ns,mean_ns
cuda-graphs,8,50000,20000,142500,495300,1.4096e+06,1.1503e+07,5300,161303
cpu,8,100000,20000,2200,3000,70900,610700,300,2570.38
cuda-naive,8,100000,20000,115900,442300,2.1148e+06,1.11426e+08,22000,142262
cuda-graphs,8,100000,20000,141700,468900,2.9564e+06,2.62521e+07,10800,158162
cpu,8,250000,20000,2300,5300,38500,957200,600,2909.49
cuda-naive,8,250000,20000,79100,395200,2.2411e+06,1.8602e+07,11900,100631
cuda-graphs,8,250000,20000,97800,397600,1.6429e+06,3.50049e+07,2700,115869
cpu,16,0,20000,7200,11300,178400,477900,4400,7357.19
cuda-naive,16,0,20000,76200,292500,1.3089e+06,2.54711e+07,7100,89925.5
cuda-graphs,16,0,20000,97900,379000,2.878e+06,1.4718e+07,5000,118421
persistent,16,0,18750,91200,714700,6.0587e+06,1.19308e+08,2600,150882
cpu,16,1000,20000,9900,56000,440600,6.0918e+06,1000,12835.7
cuda-naive,16,1000,20000,138800,1.438e+06,4.5001e+06,2.99186e+07,85300,235523
cuda-graphs,16,1000,20000,127300,1.3566e+06,3.9993e+06,2.97932e+07,64200,234968
cpu,16,10000,20000,9600,20400,721300,4.9851e+06,800,12187.7
cuda-naive,16,10000,20000,74600,425800,1.5269e+06,9.2676e+06,5300,90812.7
cuda-graphs,16,10000,20000,97500,385000,1.5248e+06,8.9091e+06,2200,112476
cpu,16,50000,20000,6500,12000,376700,1.3631e+06,2000,8021.24
cuda-naive,16,50000,20000,74700,294400,1.113e+06,2.81301e+07,5500,87382.7
cuda-graphs,16,50000,20000,97500,303700,1.1361e+06,2.2114e+07,2400,110560
cpu,16,100000,20000,4400,14400,216700,2.5219e+06,500,5805.86
cuda-naive,16,100000,20000,74400,294300,1.1096e+06,7.2884e+06,5200,86318.4
cuda-graphs,16,100000,20000,97700,327500,1.4288e+06,1.25009e+08,4000,122168
